Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,ASX6000PNP-256GT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 256GB,92,176,3653,https://ssd.userbenchmark.com/SpeedTest/607866/ADATA-SX6000PNP
SSD,2YY44AA#ABC,HP,EX900 NVMe PCIe M.2 500GB,93,175,2930,https://ssd.userbenchmark.com/SpeedTest/532017/HP-SSD-EX900-500GB
SSD,PX-256M8PeG,Plextor,M8Pe NVMe PCIe M.2 256GB,94,174,1811,https://ssd.userbenchmark.com/SpeedTest/171701/PLEXTOR-PX-256M8PeG
SSD,MZVLW128,Samsung,PM961 NVMe PCIe M.2 128GB,95,172,6713,https://ssd.userbenchmark.com/SpeedTest/194898/NVMe-SAMSUNG-MZVLW128
SSD,PH480GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 480GB,96,171,596,https://ssd.userbenchmark.com/SpeedTest/184918/Patriot-Hellfire-M2
SSD,MZVPV128HDGM-00000,Samsung,SM951 NVMe PCIe M.2 128GB,97,169,1284,https://ssd.userbenchmark.com/SpeedTest/34737/NVMe-SAMSUNG-MZVPV128
SSD,WDS250G1B0C,WD,Blue SN500 NVMe PCIe M.2 250GB,98,167,1283,https://ssd.userbenchmark.com/SpeedTest/756076/WDC-WDS250G1B0C-00S6U0
SSD,SSDPEKNW512G8X1,Intel,660p NVMe PCIe M.2 512GB,99,167,39382,https://ssd.userbenchmark.com/SpeedTest/557263/INTEL-SSDPEKNW512G8
SSD,CSSD-F240GBMP510,Corsair,Force NVMe PCIe M.2 240GB,100,166,5944,https://ssd.userbenchmark.com/SpeedTest/612603/Force-MP510
SSD,,Toshiba,THNSN5512GPU7 NVMe PCIe M.2 512GB,101,164,8311,https://ssd.userbenchmark.com/SpeedTest/120558/NVMe-THNSN5512GPU7-NV
SSD,KXG50ZNV1T02,Toshiba,XG5 NVMe PCIe M.2 1TB,102,164,4985,https://ssd.userbenchmark.com/SpeedTest/359586/KXG50ZNV1T02-NVMe-TOSHIBA-1024GB
SSD,CSSD-F480GBMP500,Corsair,Force MP500 NVMe PCIe M.2 480GB,103,164,2208,https://ssd.userbenchmark.com/SpeedTest/223982/Force-MP500
